date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:59	65516/65516	U--M-Z	200	updated ('OK')	text/html	etag:%22ffec-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-mixed.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-mixed.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:59	66131/66131	U--M-Z	200	updated ('OK')	text/html	etag:%2210253-6532f0e4afea4-gzip%22	https://techzaa.in/rasket/admin/charts-apex-timeline.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-timeline.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:59	60380/60380	U--M-Z	200	updated ('OK')	text/html	etag:%22ebdc-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-boxplot.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-boxplot.html	(from https://techzaa.in/rasket/admin/index.html)
15:16:59	61664/61664	U--M-Z	200	updated ('OK')	text/html	etag:%22f0e0-6532f0e4afea4-gzip%22	https://techzaa.in/rasket/admin/charts-apex-treemap.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-treemap.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:06	64719/64719	U--M-Z	200	updated ('OK')	text/html	etag:%22fccf-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-pie.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-pie.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:06	61374/61374	U--M-Z	200	updated ('OK')	text/html	etag:%22efbe-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-radar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-radar.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:06	64124/64124	U--M-Z	200	updated ('OK')	text/html	etag:%22fa7c-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-radialbar.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-radialbar.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:06	60955/60955	U--M-Z	200	updated ('OK')	text/html	etag:%22ee1b-6532f0e4afea4-gzip%22	https://techzaa.in/rasket/admin/charts-apex-scatter.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-scatter.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:08	88541/88541	U--M-Z	200	updated ('OK')	text/html	etag:%22159dd-6532f0e4b2d85-gzip%22	https://techzaa.in/rasket/admin/forms-basic.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-basic.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:08	106247/106247	U--M-Z	200	updated ('OK')	text/html	etag:%2219f07-6532f0e4b4cc5-gzip%22	https://techzaa.in/rasket/admin/forms-checkbox-radio.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-checkbox-radio.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:08	107182/107182	U--M-Z	200	updated ('OK')	text/html	etag:%221a2ae-6532f0e4b6c05-gzip%22	https://techzaa.in/rasket/admin/forms-choices.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-choices.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:09	83126/83126	U--M-Z	200	updated ('OK')	text/html	etag:%22144b6-6532f0e4b6c05-gzip%22	https://techzaa.in/rasket/admin/forms-clipboard.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-clipboard.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:10	118603/118603	U--M-Z	200	updated ('OK')	text/html	etag:%221cf4b-6532f0e4b7ba5-gzip%22	https://techzaa.in/rasket/admin/forms-flatepicker.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-flatepicker.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:10	112623/112623	U--M-Z	200	updated ('OK')	text/html	etag:%221b7ef-6532f0e4b8b45-gzip%22	https://techzaa.in/rasket/admin/forms-validation.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-validation.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:10	63958/63958	U--M-Z	200	updated ('OK')	text/html	etag:%22f9d6-6532f0e4aef04-gzip%22	https://techzaa.in/rasket/admin/charts-apex-polar-area.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/charts-apex-polar-area.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:11	157519/157519	U--M-Z	200	updated ('OK')	text/html	etag:%222674f-6532f0e4b8b45-gzip%22	https://techzaa.in/rasket/admin/forms-wizard.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-wizard.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:12	122746/122746	U--M-Z	200	updated ('OK')	text/html	etag:%221df7a-6532f0e4b7ba5-gzip%22	https://techzaa.in/rasket/admin/forms-range-slider.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/forms-range-slider.html	(from https://techzaa.in/rasket/admin/index.html)
15:17:13	318749/318749	U--M-Z	200	updated ('OK')	text/html	etag:%224dd1d-6532f0e4c17e7-gzip%22	https://techzaa.in/rasket/admin/tables-basic.html	C:/My%20Web%20Sites/Prototipo%20Salao%20de%20eventos/techzaa.in/rasket/admin/tables-basic.html	(from https://techzaa.in/rasket/admin/index.html)
